,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre,genre_1,genre_2
571,7.117000000000001,6.1,202,5300000,440821,-4859179,comedy,horror,sci-fi
572,1.547,10.0,1,5000000,8297,-4991703,comedy,crime,romance
573,6.058,6.0,352,30000000,25199891,-4800109,biography,drama,romance
577,27.836,7.2,9586,110000000,693698673,583698673,drama,sci-fi,thriller
578,1.891,7.3,37,9000000,2000093,-6999907,biography,family,sport
579,36.284,8.3,3499,23000000,322034439,299034439,biography,comedy,drama
580,17.257,5.1,4290,200000000,219535492,19535492,action,adventure,sci-fi
581,9.943,6.8,1314,5000000,3807503,-1192497,horror,music,thriller
582,11.519,6.4,1176,100000000,97523020,-2476980,action,drama,thriller
583,3.5189999999999997,6.0,44,2900000,25935,-2874065,comedy,drama,romance
584,1.9809999999999999,7.0,16,2000000,35312,-1964688,comedy,drama,family
587,7.917999999999999,6.0,711,40000000,69807260,29807260,comedy,drama,sport
588,49.606,7.9,17958,170000000,770867516,600867516,action,adventure,comedy
589,10.767999999999999,5.1,1282,112000000,232017848,120017848,adventure,comedy,family
590,9.329,4.8,68,10000000,1638202,-8361798,action,adventure,comedy
591,2.157,6.3,8,200000,0,-200000,drama,sci-fi,thriller
592,24.074,8.1,6608,40000000,168904682,128904682,biography,drama,history
593,12.312000000000001,5.9,2328,22000000,64160680,42160680,comedy,drama,music
596,8.17,6.1,167,20000000,5031975,-14968025,action,biography,drama
597,9.709,6.6,1944,30000000,65343694,35343694,action,drama,thriller
598,15.982000000000001,5.9,4548,50000000,214949716,164949716,action,fantasy,horror
599,0.6,7.0,3,3000000,5746453,2746453,documentary,drama,family
602,21.23,6.6,3211,5000000,125010260,120010260,horror,mystery,thriller
603,8.131,5.9,754,135000000,157956466,22956466,adventure,animation,comedy
604,2.309,6.7,25,250000,67665,-182335,documentary,drama,sport
605,10.459000000000001,6.2,1294,2000000,17187434,15187434,action,adventure,sci-fi
607,2.9139999999999997,4.6,10,60000,0,-60000,crime,drama,horror
608,10.015,5.6,747,23000000,36374700,13374700,action,drama,thriller
609,13.200999999999999,7.4,87,2000000,2420962,420962,comedy,drama,music
610,9.718,6.2,363,12000000,100916299,88916299,biography,drama,family
611,0.6,5.0,1,35000000,28906817,-6093183,action,crime,thriller
612,3.01,6.4,46,1000000,552614,-447386,crime,drama,romance
614,15.749,7.3,2468,12000000,37584304,25584304,action,crime,drama
615,7.8020000000000005,6.4,265,1000000,14662703,13662703,comedy,drama,romance
617,15.968,7.9,7776,23000000,48163815,25163815,drama,romance,sci-fi
619,23.921999999999997,5.6,2606,70000000,250700000,180700000,action,adventure,fantasy
620,10.265,6.0,812,42000000,73239258,31239258,action,comedy,sport
